"scenario","year","transicion_label","age_inicial","age_final","consumption_kg","consumption_se_kg","consumo_min_kg","consumo_max_kg","p_value_est","p_value_se","data_source","consumo_anchoveta_kg","consumo_anchoveta_min","consumo_anchoveta_max","consumo_sardina_kg","consumo_sardina_min","consumo_sardina_max","consumo_otros_kg","consumo_otros_min","consumo_otros_max","prop_anchoveta","prop_sardina","prop_otros"
"T2015_1to2",2015,"1 → 2",1,2,15.9519150687705,0.653390905060736,14.6712924270254,17.2325377105156,0.681424220794059,0.0313309324706708,"específica",2.27633828031355,2.09359342933653,2.45908313129057,2.63525636936089,2.4236975089446,2.84681522977717,11.0403204190961,10.1540014887443,11.9266393494478,0.1427,0.1652,0.6921
"T2015_2to3",2015,"2 → 3",2,3,26.8917712889271,1.04666593737627,24.8403437478248,28.9431988300295,0.60317726567504,0.0286665159138209,"específica",5.59886678235463,5.17175956829712,6.02597399641214,8.96302737059941,8.27928657115,9.64676817004883,12.332566313102,11.3917816427524,13.2733509834515,0.2082,0.3333,0.4586
"T2015_3to4",2015,"3 → 4",3,4,54.3786068276966,3.95062469711251,46.6355247049216,62.1216889504716,0.748902127941871,0.0490533416784273,"específica",17.036401526867,14.6105531317972,19.4622499219369,23.8373685262344,20.4431163955329,27.2316206569358,13.5048367745952,11.5818551775914,15.4278183715989,0.313292350075249,0.438359309236538,0.248348340688213
"T2015_4to5",2015,"4 → 5",4,5,64.6125799212547,1.15668955566026,62.3455100508669,66.8796497916424,0.657956306294467,0.0119255258522916,"histórica",7.65901579215981,7.39028292372473,7.92774866059489,35.382016319139,34.1405629791169,36.6234696591611,21.5715478099559,20.8146641480253,22.3284314718864,0.11853753249745,0.547602593214203,0.333859874288347
"T2016_1to2",2016,"1 → 2",1,2,19.3865455281773,1.44953489738343,16.5455093349718,22.2275817213827,0.753177840079679,0.0527752402556033,"específica",2.76646004687089,2.36104418210047,3.17187591164132,3.20265732125488,2.73331814213734,3.67199650037243,13.4174281600515,11.451147010734,15.383709309369,0.1427,0.1652,0.6921
"T2016_2to3",2016,"2 → 3",2,3,46.8750020683733,1.98946931185822,42.9757138687835,50.7742902679631,0.784087675312402,0.0310043928299035,"específica",9.75937543063532,8.94754362748072,10.5712072337899,15.6234381893888,14.3238054324655,16.9230709463121,21.496875948556,19.7086623802241,23.2850895168879,0.2082,0.3333,0.4586
"T2016_3to4",2016,"3 → 4",3,4,55.4429152971871,1.27316123535342,52.9475651293819,57.9382654649923,0.658104833070436,0.0161740894493632,"específica",17.3698412284787,16.5880671101463,18.1516153468111,24.3039180517348,23.2100580758724,25.3977780275972,13.7691560169736,13.1494399433631,14.388872090584,0.313292350075249,0.438359309236538,0.248348340688213
"T2016_4to5",2016,"4 → 5",4,5,66.3133260763465,3.85023496262124,58.767004217592,73.8596479351011,0.689588987787733,0.037464126117672,"específica",7.86061804478893,6.96609567222059,8.75514041735726,36.3133493240664,32.1809639049834,40.4457347431494,22.1393587074912,19.619944640388,24.6587727745944,0.11853753249745,0.547602593214203,0.333859874288347
"T2017_1to2",2017,"1 → 2",1,2,15.8305445642342,0.476990300062561,14.8956607551366,16.7654283733317,0.681622434713857,0.0235093781802478,"histórica",2.25901870931621,2.12561078975799,2.39242662887444,2.61520596201148,2.46076315674856,2.7696487672744,10.9563198929065,10.30928680863,11.6033529771829,0.1427,0.1652,0.6921
"T2017_2to3",2017,"2 → 3",2,3,43.0243949044892,1.83076879120369,39.43615400971,46.6126357992683,0.717697769240773,0.0310521096779886,"específica",8.95767901911464,8.21060726482162,9.70475077340767,14.3400308216662,13.1440701314363,15.5359915118961,19.7309875031987,18.085420228853,21.3765547775445,0.2082,0.3333,0.4586
"T2017_3to4",2017,"3 → 4",3,4,53.8104266676216,1.85065365467363,50.1832121566039,57.4376411786393,0.651157896820404,0.0238964752767412,"específica",16.858395029251,15.7220164708672,17.9947735876348,23.588301463742,21.9982782162395,25.1783247112445,13.3637301746286,12.4629174694971,14.26454287976,0.313292350075249,0.438359309236538,0.248348340688213
"T2017_4to5",2017,"4 → 5",4,5,66.5934442266035,1.1660046591548,64.3081170888542,68.8787713643528,0.682210856795097,0.0118692701991094,"histórica",7.89382255912814,7.62292551926988,8.1647195989864,36.4667427495535,35.2152916825792,37.7181938165278,22.2328789179219,21.4698998870052,22.9958579488386,0.11853753249745,0.547602593214203,0.333859874288347
"T2018_1to2",2018,"1 → 2",1,2,16.6538103407775,0.630182248061187,15.4186758308811,17.888944850674,0.717109601879908,0.0289092825314305,"específica",2.37649873562895,2.20024504106674,2.55275243019117,2.75120946829645,2.54716524726156,2.95525368933134,11.5261021368521,10.6712655425528,12.3809387311514,0.1427,0.1652,0.6921
"T2018_2to3",2018,"2 → 3",2,3,26.6138475920038,0.966839297070038,24.7188773909085,28.5088177930991,0.614688279042559,0.0272574276513668,"específica",5.54100306865519,5.14647027278715,5.93553586452323,8.87039540241486,8.2388018343898,9.50198897043992,12.2051105056929,11.3360771714706,13.0741438399152,0.2082,0.3333,0.4586
"T2018_3to4",2018,"3 → 4",3,4,52.418113297839,2.24497314131385,48.0180467946041,56.8181798010739,0.766173788660251,0.0304172187368381,"específica",16.4221939015906,15.0436867263048,17.8007010768765,22.9779679367233,21.0491578237704,24.9067780496762,13.0179514595251,11.9252022445289,14.1107006745212,0.313292350075249,0.438359309236538,0.248348340688213
"T2018_4to5",2018,"4 → 5",4,5,65.6367054219331,1.1341892122483,63.4137354142726,67.8596754295936,0.704997074227469,0.0119240992740602,"histórica",7.78041310197795,7.51690772245403,8.04391848150186,35.9428300990873,34.725525958255,37.1601342399196,21.9134622208678,21.1713017335635,22.6556227081722,0.11853753249745,0.547602593214203,0.333859874288347
"T2019_1to2",2019,"1 → 2",1,2,17.9327556170978,1.72715236857563,14.5475991788765,21.317912055319,0.719543082688686,0.0697346717481158,"específica",2.55900422655985,2.07594240282567,3.04206605029403,2.96249122794455,2.4032633843504,3.52171907153871,12.4112601625934,10.0683933917004,14.7541269334863,0.1427,0.1652,0.6921
"T2019_2to3",2019,"2 → 3",2,3,49.0930243967705,1.29819038429576,46.5486179984746,51.6374307950664,0.798274297251186,0.0193566541994862,"específica",10.2211676794076,9.69142226728241,10.7509130915328,16.3627050314436,15.5146543788916,17.2107556839956,22.5140609883589,21.3471962141004,23.6809257626174,0.2082,0.3333,0.4586
"T2019_3to4",2019,"3 → 4",3,4,61.974504871198,1.29307339573439,59.4401275861917,64.5088821562043,0.677189212842391,0.0144478440121168,"específica",19.4161382758476,18.6221372602506,20.2101392914445,27.1671011456148,26.0561332696147,28.2780690216149,15.3912654497356,14.7618570563264,16.0206738431448,0.313292350075249,0.438359309236538,0.248348340688213
"T2019_4to5",2019,"4 → 5",4,5,65.2780608299668,1.17273699619943,62.9795385540783,67.5765831058554,0.639984226203185,0.0119231370987649,"histórica",7.73790025700271,7.46543909802846,8.01036141597697,35.7464353904843,34.4877586316471,37.0051121493215,21.7937251824798,21.0263408244027,22.5611095405569,0.11853753249745,0.547602593214203,0.333859874288347
"T2020_1to2",2020,"1 → 2",1,2,11.7510479879629,2.28900738698653,7.26467594912314,16.2374200268026,0.59017648716103,0.132227576863001,"específica",1.6768745478823,1.03666925793987,2.31707983782473,1.94127312761147,1.20012446679514,2.68242178842779,8.13290031246911,5.02788222438812,11.2379184005501,0.1427,0.1652,0.6921
"T2020_2to3",2020,"2 → 3",2,3,26.2452410691022,1.25352355018152,23.7883800569736,28.7021020812308,0.610798916075944,0.0350943976329963,"específica",5.46425919058707,4.95274072786191,5.97577765331224,8.74753884833176,7.9286670729893,9.56641062367421,12.0360675542903,10.9093510941281,13.1627840144524,0.2082,0.3333,0.4586
"T2020_3to4",2020,"3 → 4",3,4,45.4399547625045,0.57161877849792,44.3196025437618,46.5603069812472,0.666870700712204,0.00894319761662566,"específica",14.235990214858,13.8849924353361,14.58698799438,19.919027181431,19.4279103567213,20.4101440061407,11.2849373662155,11.0066997517044,11.5631749807266,0.313292350075249,0.438359309236538,0.248348340688213
"T2020_4to5",2020,"4 → 5",4,5,62.3253165357861,1.29477501923447,59.7876041300044,64.8630289415678,0.674347663101157,0.0139344936917588,"específica",7.3878892342746,7.08707506750507,7.68870340104413,34.1295049578925,32.7398470636546,35.5191628521304,20.807922343619,19.9606819988447,21.6551626883932,0.11853753249745,0.547602593214203,0.333859874288347
"T2021_1to2",2021,"1 → 2",1,2,14.1943404196943,0.614208336892532,12.9905142003807,15.3981666390079,0.655330594776516,0.0324434090719813,"específica",2.02553237789037,1.85374637639432,2.19731837938642,2.34490503733349,2.14603294590289,2.5437771287641,9.82390300447041,8.99073487808346,10.6570711308574,0.1427,0.1652,0.6921
"T2021_2to3",2021,"2 → 3",2,3,32.7368113248087,0.722486027827038,31.3207647309343,34.1528579186831,0.702816243005979,0.0166528862591396,"histórica",6.81580411782518,6.52098321698053,7.11062501866983,10.9111792145588,10.4392108848204,11.3831475442971,15.0131016735573,14.3637027056065,15.6625006415081,0.2082,0.3333,0.4586
"T2021_3to4",2021,"3 → 4",3,4,49.9840549815518,0.489214959216777,49.0252112807887,50.9428986823149,0.685026258046847,0.00704078062550314,"histórica",15.6596220514608,15.3592236550939,15.9600204478278,21.9109758145542,21.4906577522219,22.3312938768865,12.4134571155368,12.1753298734729,12.6515843576007,0.313292350075249,0.438359309236538,0.248348340688213
"T2021_4to5",2021,"4 → 5",4,5,64.9745837485487,1.12698391567699,62.7657358626659,67.1834316344315,0.704200555230904,0.0119240617052146,"histórica",7.70192683260188,7.44009545454712,7.96375821065664,35.5802505537187,34.3706797233935,36.7898213840438,21.6924063622281,20.9549606847252,22.4298520397311,0.11853753249745,0.547602593214203,0.333859874288347
"T2022_1to2",2022,"1 → 2",1,2,11.184380799472,0.577488555681068,10.0525240288531,12.316237570091,0.582965348018134,0.0390623628210804,"específica",1.59601114008466,1.43449517891734,1.75752710125198,1.84765970807278,1.66067696956653,2.03464244657903,7.7407099513146,6.95735188036923,8.52406802225998,0.1427,0.1652,0.6921
"T2022_2to3",2022,"2 → 3",2,3,20.1703872002068,2.00746443910146,16.2358291993231,24.1049452010906,0.575601021501982,0.0700630179792625,"específica",4.19947461508306,3.38029963929906,5.01864959086706,6.72279005382894,5.41140187213438,8.03417823552349,9.25013957001485,7.44575127080956,11.0545278692201,0.2082,0.3333,0.4586
"T2022_3to4",2022,"3 → 4",3,4,46.3439773047693,1.32567088141206,43.7457101218482,48.9422444876904,0.736627871839814,0.0203992739550512,"específica",14.5192135616452,13.7051963297844,15.3332307935059,20.3153138785925,19.1763392710752,21.4542884861097,11.5094498645316,10.8641745209886,12.1547252080747,0.313292350075249,0.438359309236538,0.248348340688213
"T2022_4to5",2022,"4 → 5",4,5,66.1454301098771,4.11203128132399,58.0859968951799,74.2048633245741,0.704521745661064,0.0395051606260409,"específica",7.84071607120736,6.88537074460917,8.79606139780554,36.2214090574375,31.8080425292327,40.6347755856423,22.0833049812322,19.3925836213381,24.7740263411263,0.11853753249745,0.547602593214203,0.333859874288347
"T2023_1to2",2023,"1 → 2",1,2,14.9008693389869,0.452785118982632,14.0134268130452,15.7883118649285,0.660447400438274,0.0235089890059386,"histórica",2.12635405467343,1.99971600622155,2.2529921031253,2.46162361480063,2.31501810951507,2.60822912008619,10.3128916695128,9.6986926973086,10.927090641717,0.1427,0.1652,0.6921
"T2023_2to3",2023,"2 → 3",2,3,31.3602960112423,0.699876472526689,29.9885633314631,32.7320286910216,0.722493391888869,0.0166513750913957,"histórica",6.52921362954065,6.24361888561061,6.81480837347069,10.4523866605471,9.99518815837665,10.9095851627175,14.3818317507557,13.752755143809,15.0109083577025,0.2082,0.3333,0.4586
"T2023_3to4",2023,"3 → 4",3,4,47.5577261559641,0.478702470163358,46.6194865551335,48.4959657567946,0.641521745647939,0.00704045984970484,"histórica",14.8994717916371,14.6055285021593,15.193415081115,20.8473719865888,20.4360859232704,21.2586580499073,11.8108823777381,11.5778721297039,12.0438926257723,0.313292350075249,0.438359309236538,0.248348340688213
"T2023_4to5",2023,"4 → 5",4,5,62.3269747543969,1.09137829917802,60.1879125944993,64.4660369142943,0.713242259948047,0.0119298155868325,"histórica",7.38808579541706,7.13452664512415,7.64164494570998,34.1304130027039,32.9590570168976,35.3017689885101,20.8084759562759,20.0943289324776,21.5226229800742,0.11853753249745,0.547602593214203,0.333859874288347
