"year","month","age","tw_g","species","temporada","temporada_inicio"
"2014","11","NA","NA","Oncorhynchus tshawytscha","2014-2015","2014"
"2014","11","NA","NA","Oncorhynchus tshawytscha","2014-2015","2014"
"2014","11","NA","NA","Oncorhynchus tshawytscha","2014-2015","2014"
"2014","11","NA","NA","Oncorhynchus tshawytscha","2014-2015","2014"
"2014","11","NA","NA","Oncorhynchus tshawytscha","2014-2015","2014"
"2014","11","NA","12000","Oncorhynchus tshawytscha","2014-2015","2014"
"2014","12","NA","4500","Oncorhynchus tshawytscha","2014-2015","2014"
"2014","12","NA","6000","Oncorhynchus tshawytscha","2014-2015","2014"
"2014","12","NA","4750","Oncorhynchus tshawytscha","2014-2015","2014"
"2014","12","NA","3700","Oncorhynchus tshawytscha","2014-2015","2014"
"2014","12","NA","NA","Oncorhynchus tshawytscha","2014-2015","2014"
"2014","12","NA","NA","Oncorhynchus tshawytscha","2014-2015","2014"
"2014","12","NA","NA","Oncorhynchus tshawytscha","2014-2015","2014"
"2014","12","NA","4500","Oncorhynchus tshawytscha","2014-2015","2014"
"2014","12","NA","1100","Oncorhynchus tshawytscha","2014-2015","2014"
"2014","12","NA","6800","Oncorhynchus tshawytscha","2014-2015","2014"
"2014","12","NA","4500","Oncorhynchus tshawytscha","2014-2015","2014"
"2014","12","NA","3500","Oncorhynchus tshawytscha","2014-2015","2014"
"2014","12","4","NA","Oncorhynchus tshawytscha","2014-2015","2014"
"2014","12","3","NA","Oncorhynchus tshawytscha","2014-2015","2014"
"2015","1","4","NA","Oncorhynchus tshawytscha","2014-2015","2014"
"2015","1","NA","NA","Oncorhynchus tshawytscha","2014-2015","2014"
"2015","1","NA","NA","Oncorhynchus tshawytscha","2014-2015","2014"
"2015","1","2","NA","Oncorhynchus tshawytscha","2014-2015","2014"
"2015","1","NA","NA","Oncorhynchus tshawytscha","2014-2015","2014"
"2015","1","NA","NA","Oncorhynchus tshawytscha","2014-2015","2014"
"2015","1","NA","NA","Oncorhynchus tshawytscha","2014-2015","2014"
"2015","1","NA","NA","Oncorhynchus tshawytscha","2014-2015","2014"
"2015","1","NA","NA","Oncorhynchus tshawytscha","2014-2015","2014"
"2015","1","NA","NA","Oncorhynchus tshawytscha","2014-2015","2014"
"2015","1","3","NA","Oncorhynchus tshawytscha","2014-2015","2014"
"2015","1","NA","NA","Oncorhynchus tshawytscha","2014-2015","2014"
"2015","1","NA","NA","Oncorhynchus tshawytscha","2014-2015","2014"
"2015","1","NA","NA","Oncorhynchus tshawytscha","2014-2015","2014"
"2015","1","NA","NA","Oncorhynchus tshawytscha","2014-2015","2014"
"2015","1","NA","NA","Oncorhynchus tshawytscha","2014-2015","2014"
"2015","1","3","NA","Oncorhynchus tshawytscha","2014-2015","2014"
"2015","1","4","NA","Oncorhynchus tshawytscha","2014-2015","2014"
"2015","1","NA","NA","Oncorhynchus tshawytscha","2014-2015","2014"
"2015","1","NA","NA","Oncorhynchus tshawytscha","2014-2015","2014"
"2015","1","3","NA","Oncorhynchus tshawytscha","2014-2015","2014"
"2015","1","NA","NA","Oncorhynchus tshawytscha","2014-2015","2014"
"2015","1","NA","NA","Oncorhynchus tshawytscha","2014-2015","2014"
"2015","1","NA","NA","Oncorhynchus tshawytscha","2014-2015","2014"
"2015","1","NA","NA","Oncorhynchus tshawytscha","2014-2015","2014"
"2015","1","4","NA","Oncorhynchus tshawytscha","2014-2015","2014"
"2015","1","NA","NA","Oncorhynchus tshawytscha","2014-2015","2014"
"2015","1","NA","NA","Oncorhynchus tshawytscha","2014-2015","2014"
"2015","1","3","NA","Oncorhynchus tshawytscha","2014-2015","2014"
"2015","1","NA","NA","Oncorhynchus tshawytscha","2014-2015","2014"
"2015","1","NA","NA","Oncorhynchus tshawytscha","2014-2015","2014"
"2015","1","NA","NA","Oncorhynchus tshawytscha","2014-2015","2014"
"2015","1","NA","NA","Oncorhynchus tshawytscha","2014-2015","2014"
"2015","1","NA","NA","Oncorhynchus tshawytscha","2014-2015","2014"
"2015","1","3","NA","Oncorhynchus tshawytscha","2014-2015","2014"
"2015","1","NA","NA","Oncorhynchus tshawytscha","2014-2015","2014"
"2015","1","3","NA","Oncorhynchus tshawytscha","2014-2015","2014"
"2015","1","3","NA","Oncorhynchus tshawytscha","2014-2015","2014"
"2015","1","2","NA","Oncorhynchus tshawytscha","2014-2015","2014"
"2015","1","NA","NA","Oncorhynchus tshawytscha","2014-2015","2014"
"2015","1","4","NA","Oncorhynchus tshawytscha","2014-2015","2014"
"2015","1","NA","NA","Oncorhynchus tshawytscha","2014-2015","2014"
"2015","1","NA","NA","Oncorhynchus tshawytscha","2014-2015","2014"
"2015","1","NA","NA","Oncorhynchus tshawytscha","2014-2015","2014"
"2015","1","NA","NA","Oncorhynchus tshawytscha","2014-2015","2014"
"2015","1","NA","NA","Oncorhynchus tshawytscha","2014-2015","2014"
"2015","1","NA","NA","Oncorhynchus tshawytscha","2014-2015","2014"
"2015","1","NA","NA","Oncorhynchus tshawytscha","2014-2015","2014"
"2015","1","NA","NA","Oncorhynchus tshawytscha","2014-2015","2014"
"2015","1","NA","NA","Oncorhynchus tshawytscha","2014-2015","2014"
"2015","1","NA","NA","Oncorhynchus tshawytscha","2014-2015","2014"
"2015","1","4","NA","Oncorhynchus tshawytscha","2014-2015","2014"
"2015","1","NA","NA","Oncorhynchus tshawytscha","2014-2015","2014"
"2015","1","NA","NA","Oncorhynchus tshawytscha","2014-2015","2014"
"2015","1","NA","NA","Oncorhynchus tshawytscha","2014-2015","2014"
"2015","1","NA","NA","Oncorhynchus tshawytscha","2014-2015","2014"
"2015","1","NA","NA","Oncorhynchus tshawytscha","2014-2015","2014"
"2015","1","NA","NA","Oncorhynchus tshawytscha","2014-2015","2014"
"2015","1","NA","NA","Oncorhynchus tshawytscha","2014-2015","2014"
"2015","1","NA","NA","Oncorhynchus tshawytscha","2014-2015","2014"
"2015","1","NA","NA","Oncorhynchus tshawytscha","2014-2015","2014"
"2015","1","3","NA","Oncorhynchus tshawytscha","2014-2015","2014"
"2015","1","3","NA","Oncorhynchus tshawytscha","2014-2015","2014"
"2015","1","4","NA","Oncorhynchus tshawytscha","2014-2015","2014"
"2015","1","4","NA","Oncorhynchus tshawytscha","2014-2015","2014"
"2015","1","NA","NA","Oncorhynchus tshawytscha","2014-2015","2014"
"2015","1","NA","NA","Oncorhynchus tshawytscha","2014-2015","2014"
"2015","1","NA","NA","Oncorhynchus tshawytscha","2014-2015","2014"
"2015","1","NA","NA","Oncorhynchus tshawytscha","2014-2015","2014"
"2015","1","NA","NA","Oncorhynchus tshawytscha","2014-2015","2014"
"2015","1","3","NA","Oncorhynchus tshawytscha","2014-2015","2014"
"2015","1","NA","NA","Oncorhynchus tshawytscha","2014-2015","2014"
"2015","1","2","NA","Oncorhynchus tshawytscha","2014-2015","2014"
"2015","1","3","NA","Oncorhynchus tshawytscha","2014-2015","2014"
"2015","1","NA","NA","Oncorhynchus tshawytscha","2014-2015","2014"
"2015","1","4","NA","Oncorhynchus tshawytscha","2014-2015","2014"
"2015","1","NA","NA","Oncorhynchus tshawytscha","2014-2015","2014"
"2015","1","NA","NA","Oncorhynchus tshawytscha","2014-2015","2014"
"2015","1","2","NA","Oncorhynchus tshawytscha","2014-2015","2014"
"2015","1","NA","NA","Oncorhynchus tshawytscha","2014-2015","2014"
"2015","1","NA","NA","Oncorhynchus tshawytscha","2014-2015","2014"
"2015","1","NA","NA","Oncorhynchus tshawytscha","2014-2015","2014"
"2015","1","NA","NA","Oncorhynchus tshawytscha","2014-2015","2014"
"2015","1","NA","NA","Oncorhynchus tshawytscha","2014-2015","2014"
"2015","1","4","NA","Oncorhynchus tshawytscha","2014-2015","2014"
"2015","1","NA","NA","Oncorhynchus tshawytscha","2014-2015","2014"
"2015","1","NA","NA","Oncorhynchus tshawytscha","2014-2015","2014"
"2015","1","NA","NA","Oncorhynchus tshawytscha","2014-2015","2014"
"2015","1","NA","NA","Oncorhynchus tshawytscha","2014-2015","2014"
"2015","1","4","NA","Oncorhynchus tshawytscha","2014-2015","2014"
"2015","1","NA","3500","Oncorhynchus tshawytscha","2014-2015","2014"
"2015","1","NA","2750","Oncorhynchus tshawytscha","2014-2015","2014"
"2015","1","NA","5500","Oncorhynchus tshawytscha","2014-2015","2014"
"2015","1","2","2800","Oncorhynchus tshawytscha","2014-2015","2014"
"2015","1","NA","6500","Oncorhynchus tshawytscha","2014-2015","2014"
"2015","1","NA","NA","Oncorhynchus tshawytscha","2014-2015","2014"
"2015","1","NA","NA","Oncorhynchus tshawytscha","2014-2015","2014"
"2015","1","NA","NA","Oncorhynchus tshawytscha","2014-2015","2014"
"2015","1","3","NA","Oncorhynchus tshawytscha","2014-2015","2014"
"2015","1","4","10500","Oncorhynchus tshawytscha","2014-2015","2014"
"2015","1","2","NA","Oncorhynchus tshawytscha","2014-2015","2014"
"2015","1","NA","NA","Oncorhynchus tshawytscha","2014-2015","2014"
"2015","1","NA","NA","Oncorhynchus tshawytscha","2014-2015","2014"
"2015","1","NA","NA","Oncorhynchus tshawytscha","2014-2015","2014"
"2015","1","NA","NA","Oncorhynchus tshawytscha","2014-2015","2014"
"2015","1","NA","NA","Oncorhynchus tshawytscha","2014-2015","2014"
"2015","1","3","NA","Oncorhynchus tshawytscha","2014-2015","2014"
"2015","1","NA","NA","Oncorhynchus tshawytscha","2014-2015","2014"
"2015","1","NA","NA","Oncorhynchus tshawytscha","2014-2015","2014"
"2015","1","NA","NA","Oncorhynchus tshawytscha","2014-2015","2014"
"2015","1","3","NA","Oncorhynchus tshawytscha","2014-2015","2014"
"2015","1","NA","NA","Oncorhynchus tshawytscha","2014-2015","2014"
"2015","1","NA","NA","Oncorhynchus tshawytscha","2014-2015","2014"
"2015","1","NA","NA","Oncorhynchus tshawytscha","2014-2015","2014"
"2015","1","NA","NA","Oncorhynchus tshawytscha","2014-2015","2014"
"2015","1","NA","4000","Oncorhynchus tshawytscha","2014-2015","2014"
"2015","1","3","4600","Oncorhynchus tshawytscha","2014-2015","2014"
"2015","1","NA","5800","Oncorhynchus tshawytscha","2014-2015","2014"
"2015","1","NA","6600","Oncorhynchus tshawytscha","2014-2015","2014"
"2015","1","NA","4000","Oncorhynchus tshawytscha","2014-2015","2014"
"2015","1","3","5200","Oncorhynchus tshawytscha","2014-2015","2014"
"2015","1","NA","2200","Oncorhynchus tshawytscha","2014-2015","2014"
"2015","1","3","NA","Oncorhynchus tshawytscha","2014-2015","2014"
"2015","1","NA","NA","Oncorhynchus tshawytscha","2014-2015","2014"
"2015","1","2","NA","Oncorhynchus tshawytscha","2014-2015","2014"
"2015","1","NA","NA","Oncorhynchus tshawytscha","2014-2015","2014"
"2015","1","NA","NA","Oncorhynchus tshawytscha","2014-2015","2014"
