 ID Sample,muestra,date,age,fork length,total length,weight,Mass (mg),?15N ‰ ,?13C ‰ ,?34S ‰ ,%N,%C ,%S ,C/N
1,m-1,16-01-2025,1,35,40,720,1.51,13.46,-24.43,8.83,12.25,57.98,0.86,4.73
2,m-2,17-01-2025,3,66,72,4340,1.54,18.36,-20.37,14.24,7.46,66.98,0.73,8.98
3,m-3,17-01-2025,1,38,40,680,1.61,13.16,-24.06,9.55,11.79,55.90,0.91,4.74
4,m-4,17-01-2025,2,46,51,1550,1.56,17.78,-20.17,15.21,8.11,62.57,0.77,7.71
5,m-5,17-01-2025,2,51,56,1660,1.56,17.82,-19.40,14.65,10.36,59.73,0.87,5.77
6,m-6,17-01-2025,2,55,60,2220,1.58,18.40,-18.80,14.56,10.71,60.66,0.82,5.67
7,m-7,18-01-2025,3,73,79,5905,2.00,17.19,-19.95,14.25,6.55,50.50,0.59,7.71
8,m-8,18-01-2025,3,72,77,5375,1.60,17.37,-20.36,15.20,7.69,65.82,0.65,8.55
9,m-9,18-01-2025,2,43,46,1075,1.53,15.12,-21.26,12.18,14.25,49.69,1.23,3.49
10,m-10,18-01-2025,2,42,45,1185,1.61,14.11,-26.00,9.81,6.63,68.08,0.73,10.27
11,m-11,18-01-2025,3,69,74,4270,1.56,18.58,-18.36,14.44,11.78,57.98,1.03,4.92
12,m-12,18-01-2025,2,44,46,1285,1.53,15.53,-20.79,10.14,13.13,56.55,1.07,4.31
13,h-1,16-01-2025,1,35,40,720,1.52,14.62,-22.67,14.77,13.86,52.69,1.09,3.80
14,h-2,17-01-2025,3,66,72,4340,1.56,17.77,-16.28,16.32,14.36,51.77,1.32,3.61
15,h-3,17-01-2025,1,38,40,680,1.51,13.76,-21.86,10.18,14.43,52.79,1.43,3.66
16,h-4,17-01-2025,2,46,51,1550,1.57,17.73,-16.78,15.25,12.25,54.40,1.29,4.44
17,h-5,17-01-2025,2,51,56,1660,1.55,17.34,-16.91,16.45,13.17,51.78,1.42,3.93
18,h-6,17-01-2025,2,55,60,2220,1.52,17.38,-17.88,16.29,10.82,55.86,1.21,5.16
19,h-7,18-01-2025,3,73,79,5905,1.56,17.24,-17.03,16.50,11.39,54.05,1.27,4.75
20,h-8,18-01-2025,3,72,77,5375,1.52,17.22,-17.27,16.43,13.12,53.50,1.33,4.08
21,h-9,18-01-2025,2,43,46,1075,1.52,16.05,-18.50,16.05,13.03,50.79,1.32,3.90
22,h-10,18-01-2025,2,42,45,1185,1.54,15.10,-19.54,15.35,11.97,53.09,1.27,4.43
23,h-11,18-01-2025,3,69,74,4270,1.58,17.72,-17.39,16.96,11.98,55.26,1.23,4.61
24,h-12,18-01-2025,2,44,46,1285,1.54,16.77,-19.21,16.23,10.89,54.68,1.31,5.02
25,Sar-1 - 1,21-02-2025,,,6-9,,1.53,16.37,-16.54,16.59,11.72,53.84,1.31,4.59
26,Sar-2 - 1,21-02-2025,,,6-9,,1.50,16.64,-17.78,16.33,9.87,58.89,1.07,5.97
27,Sar-3 - 1,21-02-2025,,,6-9,,1.53,15.38,-18.23,16.31,8.67,59.01,1.10,6.80
28,Sar-4 - 1,21-02-2025,,,6-9,,1.57,15.47,-18.85,16.70,9.08,57.96,0.75,6.39
29,Sar-5 - 1,21-02-2025,,,6-9,,1.57,16.01,-17.83,16.80,11.39,51.85,0.93,4.55
30,Sar-1 - 2,21-02-2025,,,9-14,,1.57,16.51,-17.21,15.30,10.79,54.28,1.19,5.03
31,Sar-2 - 2,21-02-2025,,,9-14,,1.58,16.49,-16.16,16.53,24.56,98.02,2.40,3.99
32,Sar-3 - 2,21-02-2025,,,9-14,,1.61,16.22,-17.91,15.46,10.40,58.99,1.13,5.67
33,Sar-4 - 2,21-02-2025,,,9-14,,1.50,16.67,-17.35,16.45,12.01,52.42,1.31,4.37
34,Sar-5 - 2,21-02-2025,,,9-14,,1.52,15.56,-17.68,16.74,9.54,54.51,1.17,5.71
35,Sar-1 - 3,21-02-2025,,,14<,,1.57,16.79,-17.72,16.43,11.00,57.63,1.11,5.24
36,Sar-2 - 3,21-02-2025,,,14<,,1.59,16.67,-16.94,16.56,11.74,50.49,1.21,4.30
37,Sar-3 - 3,21-02-2025,,,14<,,1.59,13.94,-19.77,15.28,7.40,69.34,0.79,9.37
38,Sar-4 - 3,21-02-2025,,,14<,,1.54,16.85,-15.83,16.54,13.79,49.94,1.34,3.62
39,Sar-5 - 3,21-02-2025,,,14<,,1.60,16.36,-19.09,16.39,7.52,62.81,0.93,8.35
40,Zoo 1-1,20-04-2025,,,,,2.51,15.61,-17.78,16.03,4.18,25.79,0.54,6.17
41,Zoo 1-2,20-04-2025,,,,,2.56,13.74,-17.07,17.98,9.11,44.66,1.19,4.90
42,Zoo 2-1,20-04-2025,,,,,2.55,12.66,-17.04,18.35,7.75,37.39,0.93,4.83
43,Zoo 3-1,20-04-2025,,,,,2.51,12.88,-14.70,17.80,10.56,59.78,1.87,5.66
44,Fito 1-1,25-03-2025,,,,,4.10,9.81,-18.48,,2.07,10.66,0.70,5.15
45,Fito 2-1,25-03-2025,,,,,4.07,10.25,-17.06,15.81,6.46,37.52,0.94,5.81
46,Fito 3-1,25-03-2025,,,,,2.07,9.06,-17.34,14.65,4.59,30.75,0.60,6.70
47,1 Fito 1,25-03-2025,,,,,4.08,11.15,-16.87,13.56,4.76,24.83,1.25,5.22
