Individuo,peso,talla,muestra,sub_muestra,AGE,DE
1,720,40,1,1,1,29169.51905
1,720,40,1,2,1,30331.67814
1,720,40,2,1,1,26736.13469
1,720,40,2,2,1,25740.74529
2,4340,72,1,1,3,31334.82396
2,4340,72,1,2,3,31950.72628
2,4340,72,2,1,3,31492.4438
2,4340,72,2,2,3,30380.83635
2,4340,72,3,1,3,32447.59121
2,4340,72,3,2,3,30810.94793
3,680,40,1,1,1,25430.90606
3,680,40,1,2,1,24762.84933
3,680,40,2,1,1,25056.38121
3,680,40,2,2,1,24131.07541
4,1550,51,1,1,2,28951.81238
4,1550,51,1,2,2,29669.99129
4,1550,51,2,1,2,29370.10345
4,1550,51,2,2,2,30491.38754
4,1550,51,3,1,2,29140.05437
4,1550,51,3,2,2,30039.16931
5,1660,56,1,1,2,29877.79854
5,1660,56,1,2,2,29576.2369
5,1660,56,2,1,2,29877.79854
5,1660,56,2,2,2,26870.13376
5,1660,56,3,1,2,31492.4438
5,1660,56,3,2,2,29703.64223
6,2220,60,1,1,2,28866.20507
6,2220,60,1,2,2,28903.24469
6,2220,60,2,1,2,29578.86474
6,2220,60,2,2,2,29202.25421
6,2220,60,3,1,2,30324.02319
6,2220,60,3,2,2,30577.27877
7,5905,79,1,1,3,28849.88444
7,5905,79,1,2,3,29182.5047
7,5905,79,2,1,3,31151.02462
7,5905,79,2,2,3,31178.55535
7,5905,79,3,1,3,31094.98237
7,5905,79,3,2,3,30734.89361
9,1075,46,1,1,2,28844.76894
9,1075,46,1,2,2,28021.07655
9,1075,46,2,1,2,28057.02036
9,1075,46,2,2,2,28079.79684
9,1075,46,3,1,2,27232.45964
9,1075,46,3,2,2,27343.0109
10,1185,45,1,1,2,29651.50771
10,1185,45,1,2,2,30048.0051
10,1185,45,2,1,2,26307.94907
10,1185,45,2,2,2,26755.11892
10,1185,45,3,1,2,26568.6721
10,1185,45,3,2,2,26666.23148
11,4270,74,1,1,3,26858.42054
11,4270,74,1,2,3,27319.90543
11,4270,74,2,1,3,25912.94811
11,4270,74,2,2,3,27244.11587
11,4270,74,3,1,3,27797.52615
11,4270,74,3,2,3,30648.72101
12,1285,46,1,1,2,27900.82002
12,1285,46,1,2,2,27445.18735
12,1285,46,2,1,2,26129.0755
12,1285,46,2,2,2,25734.00673
12,1285,46,3,1,2,25841.42743
12,1285,46,3,2,2,26246.89002
