"year_consumo","edad_consumo","transicion_label","N_mar_total","consumption_kg","consumption_se_kg","consumo_min_kg","consumo_max_kg","consumo_anchoveta_kg","consumo_sardina_kg","consumo_otros_kg","consumo_total_poblacional_t","consumo_se_poblacional_t","consumo_lower_poblacional_t","consumo_upper_poblacional_t","consumo_cv_poblacional","consumo_anchoveta_poblacional_t","consumo_sardina_poblacional_t","consumo_otros_poblacional_t","prop_anchoveta","prop_sardina","prop_otros"
2014,1,"1 → 2",208295.005298896,15.9519150687705,0.653390905060736,14.6712924270254,17.2325377105156,2.27633828031355,2.63525636936089,11.0403204190961,3322.70423377709,136.098062031876,3055.95693382891,3589.45153372527,0.0409600290776308,474.149894159991,548.910739419976,2299.64360019713,0.1427,0.1652,0.6921
2014,2,"2 → 3",278558.777574344,26.8917712889271,1.04666593737627,24.8403437478248,28.9431988300295,5.59886678235463,8.96302737059941,12.332566313102,7490.93893705237,291.557984044239,6919.49578892058,8062.3820851842,0.0389214204646773,1559.61348669431,2496.72994771956,3435.34459653223,0.2082,0.3333,0.4586
2014,3,"3 → 4",35257.1781136408,54.3786068276966,3.95062469711251,46.6355247049216,62.1216889504716,17.036401526867,23.8373685262344,13.5048367745952,1917.23622649574,139.287878606244,1644.23700094452,2190.23545204697,0.0726503477669152,600.655443048252,840.438347889941,476.142435557549,0.313292350075249,0.438359309236538,0.248348340688213
2015,1,"1 → 2",128106.214233796,19.3865455281773,1.44953489738343,16.5455093349718,22.2275817213827,2.76646004687089,3.20265732125488,13.4174281600515,2483.53695468592,185.694428103565,2119.58256347317,2847.49134589866,0.0747701489817569,354.40072343368,410.280304914113,1718.85592633812,0.1427,0.1652,0.6921
2015,2,"2 → 3",151825.933669848,46.8750020683733,1.98946931185822,42.9757138687835,50.7742902679631,9.75937543063532,15.6234381893888,21.496875948556,7116.84095480683,302.053035780384,6524.82788325629,7708.85402635737,0.0424420101135424,1481.72628679078,2372.04309023711,3263.78326187441,0.2082,0.3333,0.4586
2015,3,"3 → 4",201076.763392473,55.4429152971871,1.27316123535342,52.9475651293819,57.9382654649923,17.3698412284787,24.3039180517348,13.7691560169736,11148.2819610014,256.003140481628,10646.5250257283,11650.0388962745,0.022963461220049,3492.67145486363,4886.95317959873,2768.65732653905,0.313292350075249,0.438359309236538,0.248348340688213
2015,4,"4 → 5",20589.8545218338,66.3133260763465,3.85023496262124,58.767004217592,73.8596479351011,7.86061804478893,36.3133493240664,22.1393587074912,1365.3817367709,79.2757777552495,1210.00406752421,1520.75940601759,0.0580612554132553,161.848981993906,747.686579783059,455.846174993938,0.11853753249745,0.547602593214203,0.333859874288347
2016,1,"1 → 2",245085.339275192,15.8305445642342,0.476990300062561,14.8956607551366,16.7654283733317,2.25901870931621,2.61520596201148,10.9563198929065,3879.83438543639,116.903329521808,3650.70806990082,4108.96070097193,0.0301310102205973,553.65236680177,640.948640474088,2685.23337816052,0.1427,0.1652,0.6921
2016,2,"2 → 3",85217.3589721068,43.0243949044892,1.83076879120369,39.43615400971,46.6126357992683,8.95767901911464,14.3400308216662,19.7309875031987,3666.42530513354,156.013281274935,3360.64489272475,3972.20571754232,0.042551877725831,763.349748528802,1222.019554201,1681.42264493424,0.2082,0.3333,0.4586
2016,3,"3 → 4",42826.4167012179,53.8104266676216,1.85065365467363,50.1832121566039,57.4376411786393,16.858395029251,23.588301463742,13.3637301746286,2304.50775533789,79.2568645846847,2149.16715522434,2459.84835545144,0.034392101480719,721.984650436444,1010.20242776016,572.320677141284,0.313292350075249,0.438359309236538,0.248348340688213
