"year","edad_consumo","transicion_label","N_mar_total","consumption_kg","consumption_se_kg","consumo_min_kg","consumo_max_kg","consumo_anchoveta_kg","consumo_sardina_kg","consumo_otros_kg","consumo_total_poblacional_t","consumo_se_poblacional_t","consumo_lower_poblacional_t","consumo_upper_poblacional_t","consumo_cv_poblacional","consumo_anchoveta_poblacional_t","consumo_sardina_poblacional_t","consumo_otros_poblacional_t","prop_anchoveta","prop_sardina","prop_otros"
2015,1,"1 → 2",128106.214233796,16.0685489257817,0.65135645280164,14.7919137371928,17.3451841143707,2.81360291690438,2.97589526105478,10.2790507478226,2058.48097111242,83.4428092851723,1894.93607014465,2222.02587208021,0.0405361091290919,360.440018041786,381.230675850022,1316.81027722062,0.1751,0.1852,0.6397
2015,2,"2 → 3",151825.933669848,28.7538891844834,1.09848328201263,26.6009015141193,30.9068768548476,4.83065338299322,6.01818900631239,17.9050467951778,4365.58607207354,166.778249912286,4038.70670884084,4692.46543530625,0.0382029462158952,733.418460108355,913.717164884993,2718.45044708019,0.168,0.2093,0.6227
2015,3,"3 → 4",201076.763392473,56.1949642427763,4.00802456108503,48.3393804538976,64.0505480316549,17.605452410014,24.6335857080353,13.9559261247269,11299.5015288932,805.920606340515,9719.9261660671,12879.0768917193,0.071323553900121,3540.04738866583,4953.24168492282,2806.21245530454,0.313292350075249,0.438359309236538,0.248348340688213
2015,4,"4 → 5",20589.8545218338,67.8419772800573,1.17907848817508,65.5310259082882,70.1529286518264,8.04182058652605,37.1504426873384,22.6497140061928,1396.85644266993,24.2770545413486,1349.27429011818,1444.43859522169,0.0173797777636661,165.57991596726,764.922210354022,466.354316348651,0.11853753249745,0.547602593214203,0.333859874288347
2016,1,"1 → 2",245085.339275192,19.1005482739383,1.43328763101391,16.2913561376643,21.9097404102123,3.3445060027666,3.53742154033337,12.2186207308383,4681.26435406035,351.27778532598,3992.77254625244,5369.75616186827,0.0750390831958241,819.689388395968,866.970158371976,2994.6048072924,0.1751,0.1852,0.6397
2016,2,"2 → 3",85217.3589721068,47.9331741772848,2.05585133131942,43.90377961033,51.9625687442396,8.05277326178385,10.0324133553057,29.8479875601953,4084.7385105382,175.194220894331,3741.36414728575,4428.11287379064,0.0428899476532826,686.236069770418,854.935770255644,2543.56667051214,0.168,0.2093,0.6227
2016,3,"3 → 4",42826.4167012179,54.3674048267186,1.26479577648077,51.8884506570179,56.8463589964192,17.0328920256551,23.8324580248236,13.5020547762399,2328.36113407286,54.1666709655059,2222.19640981803,2434.52585832768,0.0232638615087839,729.457731517557,1020.65877838538,578.244624169919,0.313292350075249,0.438359309236538,0.248348340688213
2016,4,"4 → 5",1671.44130067412,64.9731295028024,3.8226847307285,57.4808051063234,72.4654538992815,7.70175444989947,35.5794542049768,21.6919208479261,108.598772085032,6.38939313839594,96.0757916507088,121.121752519356,0.0588348561933379,12.8730304752127,59.4689692136417,36.2567723961777,0.11853753249745,0.547602593214203,0.333859874288347
2017,1,"1 → 2",213927.910388631,15.1287306099234,0.454171778261824,14.2385702817357,16.018890938111,2.64904072979758,2.8018409089578,9.67784897116797,3236.45772621343,97.1600194810407,3046.02758729338,3426.88786513346,0.0300204815573832,566.70374785997,599.391970894725,2070.36200745873,0.1751,0.1852,0.6397
2017,2,"2 → 3",197237.753406084,43.3531098074891,1.83474908937797,39.7570676716406,46.9491519433376,7.28332244765817,9.07380588270747,26.9959814771235,8550.86998159642,361.881788452769,7841.59470956804,9260.14525362479,0.0423210491133216,1436.5461569082,1789.69708714813,5324.6267375401,0.168,0.2093,0.6227
2017,3,"3 → 4",36242.792813299,52.9109440680099,1.79532566778156,49.3921704186378,56.4297177173821,16.5765940117669,23.1940048927059,13.1403451635371,1917.64038341293,65.0676162098048,1790.11019908185,2045.17056774403,0.033931083623719,600.782062318641,840.615513836983,476.242807257311,0.313292350075249,0.438359309236538,0.248348340688213
2017,4,"4 → 5",4957.17571123527,65.5928775408825,1.13506140222491,63.3681980722802,67.8175570094849,7.77521785310362,35.9188298377689,21.89882985001,325.155419375692,5.62669881386997,314.127292348653,336.183546402732,0.0173046441134932,38.5431210909681,178.055950847781,108.556347436943,0.11853753249745,0.547602593214203,0.333859874288347
2018,1,"1 → 2",161761.170026547,16.9726930190203,0.644555215093242,15.7093880113901,18.2359980266505,2.97191854763046,3.14334274712256,10.8574317242673,2745.52268125813,104.264005740196,2541.16898512347,2949.87637739279,0.0379760132567605,480.7410214883,508.470800569006,1756.31085920083,0.1751,0.1852,0.6397
2018,2,"2 → 3",137269.165280354,27.8903827752645,1.03036313963612,25.8709081305801,29.9098574199489,4.68558430624443,5.83745711486286,17.3673413541572,3828.48956291012,141.437088113495,3551.27796412945,4105.70116169079,0.0369433129670035,643.1862465689,801.302865517088,2384.00045082413,0.168,0.2093,0.6227
2018,3,"3 → 4",81665.6343853151,53.1613973838629,2.30527260122365,48.6431461109176,57.6796486568083,16.6550591196746,23.3037934352393,13.2025448289491,4341.45924216299,188.261549410015,3972.47338564566,4710.44509868034,0.0433636569892614,1360.14596873315,1903.11907447316,1078.19419895669,0.313292350075249,0.438359309236538,0.248348340688213
2018,4,"4 → 5",1262.9436312849,65.8977177010132,1.16147671806814,63.6212651647179,68.1741702373085,7.81135285349164,36.0857610999723,22.0006037475493,83.2251028867048,1.46687962396984,80.3500716540683,86.1001341193413,0.017625446807398,9.8652983380364,45.5742821612784,27.7855223873901,0.11853753249745,0.547602593214203,0.333859874288347
2019,1,"1 → 2",118327.675480921,17.0842514640723,1.65333607970927,13.8437722935014,20.3247306346431,2.99145243135905,3.16400337114618,10.928795661567,2021.5397630752,195.635415100737,1638.1013953772,2404.97813077318,0.0967754474456308,353.971612514466,374.389164121525,1293.1789864392,0.1751,0.1852,0.6397
2019,2,"2 → 3",121064.725860904,48.5157872592068,1.29900332817693,45.9697875201823,51.0617869982312,8.15065225954674,10.154354273352,30.2107807263081,5873.55048446181,157.263481818142,5565.31972401488,6181.78124490873,0.0267748582793618,986.756481389584,1229.33411639786,3657.45988667437,0.168,0.2093,0.6227
2019,3,"3 → 4",60685.9475475238,58.5061577181428,1.24475042293891,56.0664917194415,60.9458237168441,18.3295316453901,25.646718883409,14.5299071893436,3550.50161849037,75.5388588762288,3402.4481756597,3698.55506132103,0.0212755455406177,1112.34499600282,1556.39543692465,881.761185562895,0.313292350075249,0.438359309236538,0.248348340688213
2019,4,"4 → 5",16195.6376143706,61.2370245100207,1.12773386717849,59.0267067462048,63.4473422738366,7.25888578290372,33.533553422409,20.4445853047079,991.772657546626,18.2643690382756,955.975152031257,1027.57016306199,0.0184158828127573,117.562283624015,543.097279151473,331.113094771136,0.11853753249745,0.547602593214203,0.333859874288347
2020,1,"1 → 2",73649.6085626634,11.7727893233962,2.26714413625261,7.32926846857995,16.2163101782125,2.06141541052668,2.18032058269298,7.53105333017657,867.061325358833,166.974278190142,539.797753761585,1194.32489695609,0.19257493479027,151.822438070332,160.579757456456,554.659129832047,0.1751,0.1852,0.6397
2020,2,"2 → 3",95673.0644400444,27.7453616664221,1.30499904389722,25.1876105405243,30.3031127923198,4.66122075995891,5.80710419678214,17.277036709681,2654.48377462394,124.853257620975,2409.77588633432,2899.19166291355,0.0470348543150026,445.953274136822,555.58345402879,1652.94704645832,0.168,0.2093,0.6227
2020,3,"3 → 4",88270.4324275204,46.7138358450838,0.576432046229039,45.5840497949402,47.8436218952275,14.6350874129357,20.47744481284,11.6013036193081,4123.45049039375,50.8819059857177,4023.72378719699,4223.17719359051,0.0123396427589601,1291.8454945544,1807.55290864007,1024.05208719928,0.313292350075249,0.438359309236538,0.248348340688213
2020,4,"4 → 5",8700.40937864246,64.512420112263,1.30868156548595,61.947451376679,67.077388847847,7.64714309554652,35.3271685479993,21.5381084687172,561.284464983656,11.3860653660105,538.968186940656,583.600743026655,0.0202857304563774,66.5332755083139,307.360828555896,187.390360919446,0.11853753249745,0.547602593214203,0.333859874288347
2021,1,"1 → 2",13764.0845422653,13.8012454925871,0.599949424671683,12.6253662276851,14.9771247574891,2.416598085752,2.55599066522713,8.82865674160796,189.961509748527,8.25775460226447,173.776608134919,206.146411362135,0.0434706726283455,33.262260356967,35.1808716054271,121.518377786132,0.1751,0.1852,0.6397
2021,2,"2 → 3",52285.4951694125,33.0668894868597,0.737370963711048,31.6216689547404,34.5121100189789,5.55523743379243,6.92089996959973,20.5907520834675,1728.9186905327,38.553805961179,1653.35461938184,1804.48276168355,0.0222993748475819,290.458340009494,361.862681928494,1076.59766859471,0.168,0.2093,0.6227
2021,3,"3 → 4",59631.8367012863,48.5857102592709,0.48112624841623,47.6427201403582,49.5287003781835,15.2215313472021,21.2979983880206,12.0661805240482,2897.25514019685,28.6904418782591,2841.02290741492,2953.48737297878,0.00990262869162078,907.687871639866,1270.0387619387,719.528506618283,0.313292350075249,0.438359309236538,0.248348340688213
2021,4,"4 → 5",17064.1990152671,62.963810693359,1.10721149537021,60.7937160391647,65.1339053475534,7.46357475622734,34.4791460143316,21.0210899228001,1074.42699643108,18.8936773089887,1037.39606936994,1111.45792349222,0.0175848869878994,127.359925005587,588.359009465008,358.708061960487,0.11853753249745,0.547602593214203,0.333859874288347
2022,1,"1 → 2",1393.14406365224,10.9497712852903,0.56882448245468,9.83489578615452,12.0646467844261,1.91730495205434,2.02789764203577,7.00456869120022,15.2546088644519,0.792454450991795,13.7014266811196,16.8077910477843,0.0519485263787041,2.67108201216555,2.82515356169651,9.75837329058993,0.1751,0.1852,0.6397
2022,2,"2 → 3",2229.03050184358,20.5000875923641,2.06292336411405,16.4568320958343,24.5433430888938,3.44401471551716,4.2906683330818,12.7654045437651,45.6953205338447,4.59831910157599,36.6827807053331,54.7078603623561,0.10062997803397,7.67681384968589,9.56403058773368,28.454476096425,0.168,0.2093,0.6227
2022,3,"3 → 4",20618.5321420531,45.6605088546783,1.31706621378793,43.0791065103994,48.2419111989572,14.3050881247139,20.0157091209256,11.3397116090388,941.452669442685,27.1559720621986,888.227942235599,994.67739664977,0.0288447554971343,294.949919294316,412.69454185579,233.808208292579,0.313292350075249,0.438359309236538,0.248348340688213
2022,4,"4 → 5",3622.17456549581,64.8072017522332,4.0733059329658,56.8236688256069,72.7907346788595,7.68208578377415,35.488591738479,21.6365242299801,234.742997847895,14.7542251478719,205.82524793827,263.660747757519,0.0628526741293137,27.8258557359437,128.545874360383,78.3712677515677,0.11853753249745,0.547602593214203,0.333859874288347
