"year","Rio","age","N_estimado_total","proporcion","N_estimado_por_edad","metodo"
2015,"Bueno",2,15523.6619472021,0.346666666666667,5381.53614169673,"Nb_factor_promedio"
2015,"Bueno",3,15523.6619472021,0.5,7761.83097360105,"Nb_factor_promedio"
2015,"Bueno",4,15523.6619472021,0.153333333333333,2380.29483190432,"Nb_factor_promedio"
2016,"Bueno",2,80805.0741127653,0.07,5656.35518789357,"Nb_factor_promedio"
2016,"Bueno",3,80805.0741127653,0.29,23433.4714927019,"Nb_factor_promedio"
2016,"Bueno",4,80805.0741127653,0.58,46866.9429854039,"Nb_factor_promedio"
2016,"Bueno",5,80805.0741127653,0.06,4848.30444676592,"Nb_factor_promedio"
2017,"Bueno",2,19678.7604350805,0.05,983.938021754025,"Nb_factor_promedio"
2017,"Bueno",3,19678.7604350805,0.49,9642.59261318944,"Nb_factor_promedio"
2017,"Bueno",4,19678.7604350805,0.44,8658.65459143542,"Nb_factor_promedio"
2017,"Bueno",5,19678.7604350805,0.02,393.57520870161,"Nb_factor_promedio"
2018,"Bueno",2,43188.949668962,0.252252252252252,10894.5098264048,"Nb_factor_promedio"
2018,"Bueno",3,43188.949668962,0.531531531531532,22956.2885627816,"Nb_factor_promedio"
2018,"Bueno",4,43188.949668962,0.189189189189189,8170.88236980362,"Nb_factor_promedio"
2018,"Bueno",5,43188.949668962,0.027027027027027,1167.26890997195,"Nb_factor_promedio"
2019,"Bueno",2,33009.8500256961,0.0990990990990991,3271.24639894286,"Nb_factor_promedio"
2019,"Bueno",3,33009.8500256961,0.45045045045045,14869.3018133766,"Nb_factor_promedio"
2019,"Bueno",4,33009.8500256961,0.441441441441441,14571.9157771091,"Nb_factor_promedio"
2019,"Bueno",5,33009.8500256961,0.00900900900900901,297.386036267532,"Nb_factor_promedio"
2020,"Bueno",2,19067.9787904031,0.0181818181818182,346.690523461875,"Nb_factor_promedio"
2020,"Bueno",3,19067.9787904031,0.163636363636364,3120.21471115687,"Nb_factor_promedio"
2020,"Bueno",4,19067.9787904031,0.618181818181818,11787.4777977037,"Nb_factor_promedio"
2020,"Bueno",5,19067.9787904031,0.2,3813.59575808062,"Nb_factor_promedio"
2021,"Bueno",2,25608.6276826443,0.09,2304.77649143799,"Nb_factor_promedio"
2021,"Bueno",3,25608.6276826443,0.21,5377.8118133553,"Nb_factor_promedio"
2021,"Bueno",4,25608.6276826443,0.62,15877.3491632395,"Nb_factor_promedio"
2021,"Bueno",5,25608.6276826443,0.08,2048.69021461154,"Nb_factor_promedio"
2022,"Bueno",2,25999.5766551051,0.1,2599.95766551051,"Nb_factor_promedio"
2022,"Bueno",3,25999.5766551051,0.245454545454545,6381.71426988943,"Nb_factor_promedio"
2022,"Bueno",4,25999.5766551051,0.5,12999.7883275525,"Nb_factor_promedio"
2022,"Bueno",5,25999.5766551051,0.154545454545455,4018.11639215261,"Nb_factor_promedio"
2023,"Bueno",2,6560.88808362217,0.05,328.044404181109,"Nb_factor_promedio"
2023,"Bueno",3,6560.88808362217,0.08,524.871046689774,"Nb_factor_promedio"
2023,"Bueno",4,6560.88808362217,0.74,4855.05718188041,"Nb_factor_promedio"
2023,"Bueno",5,6560.88808362217,0.13,852.915450870882,"Nb_factor_promedio"
2015,"Imperial",2,17685.9873743278,0.346666666666667,6131.14228976697,"N_base_tendencia"
2015,"Imperial",3,17685.9873743278,0.5,8842.9936871639,"N_base_tendencia"
2015,"Imperial",4,17685.9873743278,0.153333333333333,2711.85139739693,"N_base_tendencia"
2016,"Imperial",2,92060.5927519289,0.07,6444.24149263502,"N_base_tendencia"
2016,"Imperial",3,92060.5927519289,0.29,26697.5718980594,"N_base_tendencia"
2016,"Imperial",4,92060.5927519289,0.58,53395.1437961188,"N_base_tendencia"
2016,"Imperial",5,92060.5927519289,0.06,5523.63556511573,"N_base_tendencia"
2017,"Imperial",2,22419.8587795184,0.05,1120.99293897592,"N_base_tendencia"
2017,"Imperial",3,22419.8587795184,0.49,10985.730801964,"N_base_tendencia"
2017,"Imperial",4,22419.8587795184,0.44,9864.7378629881,"N_base_tendencia"
2017,"Imperial",5,22419.8587795184,0.02,448.397175590368,"N_base_tendencia"
2018,"Imperial",2,49204.8346036942,0.252252252252252,12412.0303504814,"N_base_tendencia"
2018,"Imperial",3,49204.8346036942,0.531531531531532,26153.9210956573,"N_base_tendencia"
2018,"Imperial",4,49204.8346036942,0.189189189189189,9309.02276286107,"N_base_tendencia"
2018,"Imperial",5,49204.8346036942,0.027027027027027,1329.86039469444,"N_base_tendencia"
2019,"Imperial",2,37607.8655132102,0.0990990990990991,3726.90559139921,"N_base_tendencia"
2019,"Imperial",3,37607.8655132102,0.45045045045045,16940.4799609055,"N_base_tendencia"
2019,"Imperial",4,37607.8655132102,0.441441441441441,16601.6703616874,"N_base_tendencia"
2019,"Imperial",5,37607.8655132102,0.00900900900900901,338.80959921811,"N_base_tendencia"
2020,"Imperial",2,21724,0.0181818181818182,394.981818181818,"N_base_tendencia"
2020,"Imperial",3,21724,0.163636363636364,3554.83636363636,"N_base_tendencia"
2020,"Imperial",4,21724,0.618181818181818,13429.3818181818,"N_base_tendencia"
2020,"Imperial",5,21724,0.2,4344.8,"N_base_tendencia"
2021,"Imperial",2,29175.7104354323,0.09,2625.81393918891,"N_base_tendencia"
2021,"Imperial",3,29175.7104354323,0.21,6126.89919144078,"N_base_tendencia"
2021,"Imperial",4,29175.7104354323,0.62,18088.940469968,"N_base_tendencia"
2021,"Imperial",5,29175.7104354323,0.08,2334.05683483458,"N_base_tendencia"
2022,"Imperial",2,29621.1155604901,0.1,2962.11155604901,"N_base_tendencia"
2022,"Imperial",3,29621.1155604901,0.245454545454545,7270.63745575666,"N_base_tendencia"
2022,"Imperial",4,29621.1155604901,0.5,14810.557780245,"N_base_tendencia"
2022,"Imperial",5,29621.1155604901,0.154545454545455,4577.80876843938,"N_base_tendencia"
2023,"Imperial",2,7474.76878883161,0.05,373.738439441581,"N_base_tendencia"
2023,"Imperial",3,7474.76878883161,0.08,597.981503106529,"N_base_tendencia"
2023,"Imperial",4,7474.76878883161,0.74,5531.32890373539,"N_base_tendencia"
2023,"Imperial",5,7474.76878883161,0.13,971.719942548109,"N_base_tendencia"
2015,"Tolten",2,17410,0.346666666666667,6035.46666666667,"Datos_Reales"
2015,"Tolten",3,17410,0.5,8705,"Datos_Reales"
2015,"Tolten",4,17410,0.153333333333333,2669.53333333333,"Datos_Reales"
2016,"Tolten",2,90624,0.07,6343.68,"Datos_Reales"
2016,"Tolten",3,90624,0.29,26280.96,"Datos_Reales"
2016,"Tolten",4,90624,0.58,52561.92,"Datos_Reales"
2016,"Tolten",5,90624,0.06,5437.44,"Datos_Reales"
2017,"Tolten",2,22070,0.05,1103.5,"Datos_Reales"
2017,"Tolten",3,22070,0.49,10814.3,"Datos_Reales"
2017,"Tolten",4,22070,0.44,9710.8,"Datos_Reales"
2017,"Tolten",5,22070,0.02,441.4,"Datos_Reales"
2018,"Tolten",2,48437,0.252252252252252,12218.3423423423,"Datos_Reales"
2018,"Tolten",3,48437,0.531531531531532,25745.7927927928,"Datos_Reales"
2018,"Tolten",4,48437,0.189189189189189,9163.75675675676,"Datos_Reales"
2018,"Tolten",5,48437,0.027027027027027,1309.10810810811,"Datos_Reales"
2019,"Tolten",2,37021,0.0990990990990991,3668.74774774775,"Datos_Reales"
2019,"Tolten",3,37021,0.45045045045045,16676.1261261261,"Datos_Reales"
2019,"Tolten",4,37021,0.441441441441441,16342.6036036036,"Datos_Reales"
2019,"Tolten",5,37021,0.00900900900900901,333.522522522523,"Datos_Reales"
2020,"Tolten",2,21385,0.0181818181818182,388.818181818182,"Datos_Reales"
2020,"Tolten",3,21385,0.163636363636364,3499.36363636364,"Datos_Reales"
2020,"Tolten",4,21385,0.618181818181818,13219.8181818182,"Datos_Reales"
2020,"Tolten",5,21385,0.2,4277,"Datos_Reales"
2021,"Tolten",2,28720.42753,0.09,2584.8384777,"Datos_Reales"
2021,"Tolten",3,28720.42753,0.21,6031.2897813,"Datos_Reales"
2021,"Tolten",4,28720.42753,0.62,17806.6650686,"Datos_Reales"
2021,"Tolten",5,28720.42753,0.08,2297.6342024,"Datos_Reales"
2022,"Tolten",2,29158.88217,0.1,2915.888217,"Datos_Reales"
2022,"Tolten",3,29158.88217,0.245454545454545,7157.180169,"Datos_Reales"
2022,"Tolten",4,29158.88217,0.5,14579.441085,"Datos_Reales"
2022,"Tolten",5,29158.88217,0.154545454545455,4506.372699,"Datos_Reales"
2023,"Tolten",2,7358.126061,0.05,367.90630305,"Datos_Reales"
2023,"Tolten",3,7358.126061,0.08,588.65008488,"Datos_Reales"
