"year","age","N_mar_total"
2012,1,52597.5290790666
2013,1,340232.459239029
2013,2,43063.2145929452
2014,1,208295.005298896
2014,2,278558.777574344
2014,3,35257.1781136408
2015,1,128106.214233796
2015,2,151825.933669848
2015,3,201076.763392473
2015,4,20589.8545218338
2016,1,245085.339275192
2016,2,85217.3589721068
2016,3,42826.4167012179
2016,4,1671.44130067412
2017,1,213927.910388631
2017,2,197237.753406084
2017,3,36242.792813299
2017,4,4957.17571123527
2018,1,161761.170026547
2018,2,137269.165280354
2018,3,81665.6343853151
2018,4,1262.9436312849
2019,1,118327.675480921
2019,2,121064.725860904
2019,3,60685.9475475238
2019,4,16195.6376143706
2020,1,73649.6085626634
2020,2,95673.0644400444
2020,3,88270.4324275204
2020,4,8700.40937864246
2021,1,13764.0845422653
2021,2,52285.4951694125
2021,3,59631.8367012863
2021,4,17064.1990152671
2022,1,1393.14406365224
2022,2,2229.03050184358
2022,3,20618.5321420531
2022,4,3622.17456549581
